time	stim1	stim2	cc	sd	gene
3hr	CpG	P3CSK	0.00111499987420355	0.00103519532427603	Itgal
3hr	CpG	P3CSK	0.000900952397150365	0.000700309622549546	Itgb8
3hr	CpG	P3CSK	0.000660176023856807	0.000658538486324465	Itpr1
3hr	CpG	P3CSK	0.000474474678279559	0.000777918712135086	Jag1
3hr	CpG	P3CSK	0.000514230537269946	0.000625004952487892	Jdp2
3hr	CpG	P3CSK	0.00458014208682028	0.00169227047188712	Jun
3hr	CpG	P3CSK	0.00056142203472299	0.00102342044178308	Junb
3hr	CpG	P3CSK	0.00438442163911143	0.00252556295450411	Kcnj2
3hr	CpG	P3CSK	0.00417511002779322	0.001983752676533	Kdm6b
3hr	CpG	P3CSK	0.000414380427541638	0.000608665109595568	Kdr
3hr	CpG	P3CSK	0.000349603537625419	0.000317673397675748	Klf2
3hr	CpG	P3CSK	5.15416544658992e-05	0.00019495228576782	Klf7
3hr	CpG	P3CSK	0.000326195684709274	0.000482488380158566	Klf8
3hr	CpG	P3CSK	0.00113204529832521	0.00180045991712502	Klra2
3hr	CpG	P3CSK	0.000112087933347785	0.000255161833502063	Lad1
3hr	CpG	P3CSK	3.68604771023419e-05	0.000227958788967894	Lcn2
3hr	CpG	P3CSK	0.00358235403890616	0.00173055291430805	Ldlr
3hr	CpG	P3CSK	0.000116126974386145	0.000822448152075967	Lif
3hr	CpG	P3CSK	5.10312544960611e-06	0.000441667995393495	Lipg
3hr	CpG	P3CSK	0.000218474021409439	0.000454350988799299	Lox
3hr	CpG	P3CSK	0.000411303480629466	0.000678872309928218	Lpar1
3hr	CpG	P3CSK	0.000154122834049895	0.000528876339323399	Lratd2
3hr	CpG	P3CSK	0.000127987505974156	0.00027688278852627	Lrp8
3hr	CpG	P3CSK	2.01115514250843e-05	0.000104709160424354	Ltbp2
3hr	CpG	P3CSK	0.000197831259410762	0.000319519165396551	Ly6a
3hr	CpG	P3CSK	0.000186008248921525	0.000193466183917655	Ly75
3hr	CpG	P3CSK	0.00126417187486453	0.000790565734383529	Maff
